,PathNumber,ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z,transformed_HMD_x,transformed_HMD_y
112,1,Avatar,69,1.154688596725464,231,-229.5475311279297,2.6430041790008545,-117.88465881347656,1101.9581582906499,1561.522578614436
113,1,Building_173,2,0.02232050895690918,232,-226.5520782470703,2.62493896484375,-117.41146850585938,1114.3403045990494,1563.4699837705825
114,1,Building_175,19,0.33083224296569824,233,-225.8153076171875,2.6281564235687256,-117.29621887207031,1117.3857918439433,1563.9442679776253
115,1,Building_174,2,0.022816181182861328,234,-224.9109344482422,2.6267632246017456,-117.16021728515624,1121.1240895160142,1564.5038890356404
116,1,Building_175,1,0.02182316780090332,235,-224.77122497558602,2.625742197036743,-117.1396026611328,1121.7015896312166,1564.588709459531
117,1,Building_174,5,0.07787251472473145,236,-224.60948181152344,2.624489545822144,-117.11569213867188,1122.370165967059,1564.6870914080355
118,1,Building_175,7,0.123504638671875,237,-224.05992126464844,2.620159149169922,-117.03749084472656,1124.6418316751754,1565.0088222382174
119,1,NoHouse,1,0.011407136917114258,238,-223.61349487304688,2.615519762039185,-117.00042724609376,1126.4874352960828,1565.1610002256507
120,1,Building_166,1,0.011408805847167969,239,-223.55821228027344,2.6148269176483154,-116.99768829345705,1126.7160008558487,1565.172209273892
121,1,Avatar,1,0.01091146469116211,240,-223.4468078613281,2.613591194152832,-116.9921417236328,1127.1766009633077,1565.194909249621
122,1,NoHouse,5,0.10019135475158693,241,-223.1641387939453,2.6101653575897217,-116.98053741455078,1128.3453140196173,1565.242319492314
123,1,Building_236,1,0.022320985794067383,242,-222.885498046875,2.6072983741760254,-116.95834350585938,1129.4972592306665,1565.3334250720577
124,1,NoHit,5,0.07737541198730469,243,-222.61068725585938,2.6064658164978027,-116.92530822753906,1130.633254688168,1565.4692641429037
125,1,TaskBuilding_44,2,0.03372812271118164,244,-222.3371124267578,2.605780601501465,-116.88543701171876,1131.7640668534686,1565.633307287973
126,1,Building_236,3,0.06646370887756348,245,-222.12030029296875,2.604950428009033,-116.84699249267578,1132.6601809113602,1565.791557468107
127,1,TaskBuilding_44,1,0.011904001235961914,246,-221.9599151611328,2.6040589809417725,-116.80946350097656,1133.3229818890266,1565.9461232395652
128,1,TaskBuilding_48,40,0.6438090801239014,247,-220.924560546875,2.613292336463928,-115.671142578125,1137.592664743455,1570.640686686184
129,1,NoHouse,25,0.4101912975311279,248,-218.8426513671875,2.606500625610352,-114.73033142089844,1146.1915791682845,1574.5185843561599
