ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z,transformed_HMD_x,transformed_HMD_y
TaskBuilding_27,55,0.880894660949707,15991,85.16630554199219,1.42631196975708,92.6879425048828,,
TaskBuilding_27,190,3.1327335834503174,15999,83.69859313964844,1.4212472438812256,99.62676620483398,,
TaskBuilding_35,26,0.4220950603485107,16192,-4.770988464355469,2.2575664520263667,99.40797805786131,,
TaskBuilding_35,45,0.7320950031280518,16214,-15.950851440429688,2.544346332550049,85.52604675292969,,
Building_176,33,0.5327041149139404,16244,-30.65217590332031,2.620791435241699,81.64892578125,,
Building_176,37,0.5575034618377686,16267,-36.20097351074219,2.902601718902588,86.93909454345703,,
Building_176,30,0.3799355030059815,16370,-55.19833374023438,2.9989941120147705,118.80822372436523,,
Building_176,38,0.620495080947876,16380,-56.91111755371094,3.129343271255493,122.67572021484376,,
Building_176,22,0.3581116199493408,16389,-58.8375244140625,3.2595648765563965,126.80938339233398,,
Building_198,36,0.5029413700103761,16482,-86.39901733398438,3.5482149124145512,126.79310989379884,,
HighSilo-TaskBuilding_49,25,0.3665440082550049,16535,-94.3688507080078,3.714334964752197,123.72068786621094,,
Building_214,79,1.1755201816558838,16627,-111.9834442138672,4.03070878982544,118.5583953857422,,
HighSilo-TaskBuilding_49,51,0.8615503311157227,16674,-120.53941345214844,4.0345330238342285,120.2884521484375,,
Building_176,40,0.710270881652832,16731,-127.28627014160156,3.8046274185180655,139.97543334960938,,
Building_176,28,0.39977574348449707,16735,-127.74815368652344,3.776601552963257,141.87265014648438,,
Building_176,59,0.95331072807312,16836,-138.05455017089844,3.2609057426452637,176.6456298828125,,
Building_176,41,0.5520479679107666,16922,-141.26210021972656,3.000815868377685,199.0766906738281,,
Building_176,40,0.6284310817718506,16984,-122.36302185058594,2.7651941776275635,204.8489761352539,,
Building_176,67,1.072352409362793,17010,-114.2550811767578,2.6635327339172363,206.26458740234366,,
Building_176,25,0.3258712291717529,17155,-52.37052917480469,1.9885268211364744,222.83029174804688,,
HighSilo-TaskBuilding_49,86,1.1601428985595703,17224,-66.35090637207031,2.2548165321350098,215.36798095703125,,
HighSilo-TaskBuilding_49,35,0.4161434173583984,17256,-74.31404113769531,2.327522754669189,213.77301025390625,,
HighSilo-TaskBuilding_49,57,0.7469749450683594,17258,-75.77217102050781,2.341176271438598,213.52479553222656,,
TaskBuilding_35,30,0.5446071624755859,17858,-210.8665008544922,4.043127536773682,170.41675567626953,,
Building_171,76,1.146254301071167,17994,-173.2251434326172,4.480515956878662,119.0885238647461,,
Building_171,25,0.3873753547668457,18002,-171.06825256347656,4.472855567932129,116.62443542480469,,
Building_198,47,0.7643353939056396,18106,-167.72145080566406,4.3112449645996085,100.1347427368164,,
Building_198,24,0.34075140953063965,18123,-176.0013885498047,4.348208427429198,90.65297317504884,,
Building_198,37,0.5991675853729248,18140,-176.73472595214844,4.417090892791748,85.67728424072266,,
Building_171,83,1.363008975982666,18149,-179.79493713378906,4.342042922973634,84.00410461425781,,
Building_198,49,0.673567533493042,18177,-185.5869598388672,4.369500637054443,80.15328216552734,,
Building_171,27,0.4444162845611572,18359,-145.6911163330078,4.308324337005615,93.35089111328124,,
Building_171,40,0.7112643718719482,18367,-150.08499145507812,4.160064458847047,79.23122024536133,,
Building_214,22,0.2896637916564941,18375,-150.89186096191406,4.161031246185304,78.79838562011719,,
Building_214,24,0.3660492897033691,18386,-151.86441040039062,4.162909030914308,77.89802551269531,,
Building_171,39,0.6219840049743652,18392,-152.9283905029297,4.168020725250243,76.90158081054688,,
Building_171,33,0.4781441688537598,18421,-158.1720733642578,4.175288677215576,72.33320617675781,,
Building_214,28,0.4463999271392822,18428,-159.26416015625,4.178529739379884,71.22086715698242,,
Building_214,48,0.7435035705566406,18446,-160.74578857421875,4.17411470413208,69.27687454223633,,
Building_171,68,1.071359395980835,18465,-163.40928649902344,4.2085626125335684,65.83272552490234,,
Building_198,42,0.6829922199249268,18482,-165.880859375,4.202068328857422,63.49220657348633,,
Building_214,36,0.5679187774658203,18550,-179.41067504882812,4.227009057998656,49.3899040222168,,
Building_214,37,0.5019514560699463,18671,-209.1197662353516,4.344777584075929,1.58489990234375,,
Building_214,81,1.189903736114502,18677,-214.9688873291016,4.346878528594972,-1.3187713623046875,,
Building_214,25,0.3868803977966309,18681,-216.98399353027344,4.3832077980041495,-2.524810791015625,,
Building_214,31,0.5108802318572998,18730,-227.4938201904297,4.391769886016847,-14.050094604492188,,
Building_198,27,0.4330074787139893,18740,-229.29432678222656,4.419058799743652,-15.169326782226562,,
Building_198,65,1.0440800189971924,18744,-230.39393615722656,4.427024364471436,-15.830886840820312,,
Building_198,54,0.8546073436737059,18749,-232.46948242187503,4.446439027786255,-17.35699462890625,,
Building_154,26,0.3442244529724121,19081,-288.2722473144531,2.9094858169555664,-116.49310302734376,,
Building_214,25,0.4181277751922608,19097,-286.2618408203125,3.000114917755127,-116.99017333984376,,
Building_154,60,0.7484636306762695,19277,-262.72869873046875,2.796567678451538,-120.97970581054688,,
Building_154,91,1.1194703578948977,19287,-259.5595703125,2.7708325386047363,-121.40557861328124,,
