ColliderName,Samples,Index
Building_149,2,1069
TaskBuilding_31,2,1070
Building_157,12,1071
Building_161,51,1072
NoHouse,17,1073
Building_159,27,1074
TaskBuilding_34,13,1075
Building_159,8,1076
TaskBuilding_34,58,1077
Building_159,4,1078
TaskBuilding_34,6,1079
Building_159,19,1080
TaskBuilding_34,74,1081
Building_159,33,1082
TaskBuilding_34,3,1083
Building_159,2,1084
TaskBuilding_34,134,1085
Building_159,22,1086
TaskBuilding_34,175,1087
NoHouse,2,1088
Building_102,2,1089
NoHouse,61,1090
NoHit,10,1101
Building_92,12,1102
NoHouse,18,1105
Building_176,29,1106
NoHouse,211,1107
Building_93,9,1112
NoHouse,2,1113
NoHit,6,1114
Building_92,72,1115
NoHouse,94,1124
Building_102,97,1135
NoHouse,2,1136
Building_102,4,1137
NoHouse,12,1138
Building_102,2,1139
NoHouse,4,1140
Building_102,30,1141
Building_101,2,1142
Building_100,1,1143
Building_98,2,1144
Building_100,26,1145
Building_123,2,1146
NoHouse,6,1147
Building_148,1,1148
NoHouse,6,1149
Building_148,2,1150
NoHouse,6,1151
Building_158,79,1152
TaskBuilding_34,115,1153
NoHouse,20,1154
Building_100,13,1155
Building_98,2,1156
NoHouse,1,1157
Building_100,4,1158
NoHouse,2,1159
Building_100,19,1160
NoHit,3,1161
Building_101,19,1162
TaskBuilding_30,2,1163
Building_101,2,1164
Building_99,2,1165
TaskBuilding_30,4,1166
Building_101,1,1167
TaskBuilding_30,6,1168
Building_101,4,1169
Building_102,95,1170
NoHouse,2,1171
TaskBuilding_19,2,1172
NoHouse,5,1173
Building_92,1,1174
NoHouse,24,1175
Building_92,33,1176
NoHouse,2,1177
Building_92,18,1178
NoHouse,6,1179
Building_93,14,1180
NoHouse,238,1181
Building_93,70,1200
NoHouse,20,1201
TaskBuilding_38,1,1204
NoHouse,8,1205
TaskBuilding_38,2,1206
Building_176,13,1207
NoHouse,6,1208
Building_176,27,1209
NoHouse,2,1210
TaskBuilding_38,2,1211
NoHouse,4,1212
NoHit,41,1213
NoHouse,2,1214
NoHit,29,1215
NoHouse,2,1216
TaskBuilding_38,4,1217
NoHouse,44,1218
TaskBuilding_38,8,1219
NoHouse,76,1220
TaskBuilding_38,2,1225
NoHouse,82,1226
TaskBuilding_38,4,1227
NoHouse,77,1228
NoHit,26,1239
NoHouse,187,1240
TaskBuilding_38,98,1245
NoHouse,3,1246
TaskBuilding_38,2,1247
NoHouse,8,1248
TaskBuilding_38,2,1249
NoHouse,6,1250
HighSilo-TaskBuilding_49,4,1251
NoHouse,4,1252
House_49,2,1253
NoHouse,16,1254
House_49,26,1255
NoHouse,100,1256
TaskBuilding_38,78,1257
NoHouse,299,1260
HighSilo-TaskBuilding_49,20,1273
TaskBuilding_38,563,1274
NoHit,2,1275
Building_180,28,1276
NoHit,2,1277
TaskBuilding_38,154,1278
HighSilo-TaskBuilding_49,70,1279
NoHouse,55,1280
HighSilo-TaskBuilding_49,4,1281
NoHouse,5,1282
HighSilo-TaskBuilding_49,7,1283
NoHouse,2,1284
HighSilo-TaskBuilding_49,1,1285
NoHouse,24,1286
HighSilo-TaskBuilding_49,84,1287
NoHouse,403,1288
Building_93,102,1291
Building_92,17,1292
Building_93,28,1293
NoHouse,3,1294
Building_92,36,1295
NoHouse,6,1296
Building_102,8,1297
NoHouse,4,1298
Building_102,6,1299
NoHouse,4,1300
Building_102,5,1301
NoHouse,110,1302
NoHit,30,1307
Building_176,80,1308
NoHouse,33,1309
NoHit,4,1316
Building_98,4,1317
NoHouse,6,1318
Building_98,6,1319
NoHouse,2,1322
Building_100,3,1323
NoHouse,100,1324
Building_100,2,1327
NoHouse,8,1328
Building_136,2,1329
NoHouse,2,1330
Building_100,4,1331
NoHouse,18,1332
Building_100,2,1333
NoHouse,6,1334
Building_100,26,1335
NoHouse,2,1336
Building_102,30,1337
NoHouse,51,1338
Building_102,2,1339
NoHouse,52,1340
Building_102,69,1341
NoHouse,5,1342
Building_100,3,1343
NoHouse,7,1344
Building_100,2,1345
NoHouse,4,1346
Building_100,2,1347
NoHouse,4,1348
Building_131,2,1349
NoHouse,27,1350
Building_148,1,1351
NoHouse,19,1352
Building_158,2,1353
TaskBuilding_34,93,1354
Building_158,3,1355
NoHouse,21,1356
Building_102,2,1357
NoHouse,22,1358
Building_157,2,1359
TaskBuilding_34,2,1360
Building_176,52,1361
NoHouse,29,1362
TaskBuilding_34,2,1363
NoHouse,50,1364
Building_98,2,1365
NoHouse,2,1366
Building_135,2,1367
Building_131,4,1368
NoHouse,2,1369
Building_131,41,1370
NoHouse,4,1371
Building_131,4,1372
Building_135,2,1373
Building_98,2,1374
NoHouse,2,1375
Building_100,7,1376
NoHouse,39,1377
Building_102,56,1378
NoHit,2,1379
NoHouse,10,1380
Building_102,4,1381
NoHouse,4,1382
Building_102,2,1383
NoHouse,149,1384
Building_102,42,1385
NoHouse,72,1386
Building_102,22,1387
NoHouse,84,1388
TaskBuilding_29,2,1389
Building_103,2,1390
Building_94,2,1391
NoHouse,2,1392
Building_94,13,1393
NoHouse,1,1394
Building_94,6,1395
Building_103,2,1396
TaskBuilding_29,87,1397
NoHouse,23,1398
TaskBuilding_29,70,1399
Building_103,3,1400
Building_94,4,1401
NoHouse,3,1402
Building_92,16,1403
TaskBuilding_19,2,1404
NoHouse,2,1405
TaskBuilding_19,2,1406
NoHouse,4,1407
TaskBuilding_19,2,1408
NoHouse,16,1409
TaskBuilding_19,5,1410
Building_91,3,1411
NoHouse,52,1412
Building_94,4,1415
NoHouse,6,1416
Building_94,2,1417
NoHouse,4,1418
Building_94,2,1419
NoHouse,2,1420
Building_94,8,1421
Building_103,4,1422
TaskBuilding_29,287,1423
Building_97,4,1424
TaskBuilding_27,2,1425
NoHouse,34,1426
TaskBuilding_27,25,1427
TaskBuilding_29,321,1428
TaskBuilding_27,2,1429
TaskBuilding_29,2,1430
TaskBuilding_27,6,1431
Building_101,9,1432
NoHouse,27,1433
Building_101,36,1434
NoHouse,84,1435
Building_101,2,1436
NoHouse,29,1437
NoHit,9,1444
TaskBuilding_27,4,1445
NoHouse,1,1446
TaskBuilding_27,4,1447
NoHouse,8,1448
TaskBuilding_27,2,1449
NoHouse,2,1450
TaskBuilding_27,2,1451
NoHouse,21,1452
Building_101,35,1453
NoHouse,34,1454
TaskBuilding_27,8,1457
NoHit,2,1458
NoHouse,25,1459
NoHit,6,1464
Building_97,7,1465
NoHouse,1,1466
Building_97,12,1467
NoHouse,4,1468
Building_97,2,1469
NoHouse,7,1470
Building_97,5,1471
NoHouse,1,1472
Building_97,2,1473
NoHouse,4,1474
NoHit,33,1475
NoHouse,45,1476
TaskBuilding_23,2,1477
NoHouse,14,1478
TaskBuilding_23,4,1479
NoHouse,105,1480
NoHit,4,1491
TaskBuilding_18,3,1492
NoHouse,46,1493
Building_103,20,1506
Building_94,3,1507
Building_103,2,1508
Building_94,1,1509
Building_103,1,1510
Building_94,15,1511
NoHouse,19,1512
Building_96,2,1513
NoHouse,6,1514
TaskBuilding_18,2,1515
NoHouse,75,1516
Building_101,27,1527
Building_102,13,1528
Building_101,2,1529
Building_102,51,1530
NoHouse,1,1531
Building_102,2,1532
Building_101,2,1533
NoHouse,13,1534
Building_101,4,1535
NoHouse,2,1536
Building_101,36,1537
Building_102,37,1538
Building_101,147,1539
Building_102,2,1540
NoHouse,50,1541
Building_158,47,1542
Building_102,4,1543
Building_158,5,1544
Building_102,2,1545
