ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z
TaskBuilding_45,48,0.7296147346496582,39267,-121.449462890625,0.1277596354484558,-152.0946044921875
NoHouse,19,0.26337599754333496,39268,-122.7175750732422,0.12256872653961183,-153.48599243164062
TaskBuilding_45,1,0.01289677619934082,39269,-123.1466827392578,0.12090766429901124,-153.9517822265625
NoHouse,9,0.12102246284484863,39270,-123.36018371582031,0.13078677654266355,-154.18508911132812
TaskBuilding_45,92,1.3079516887664795,39271,-125.29594421386719,0.13925141096115112,-156.29029846191406
NoHouse,7,0.09919953346252441,39272,-127.97706604003906,0.14325952529907227,-159.120361328125
TaskBuilding_45,181,2.7245259284973145,39273,-132.42588806152344,0.14561748504638672,-163.84439086914062
NoHouse,17,0.27131175994873047,39274,-133.48854064941406,0.15118646621704102,-164.98284912109375
Building_222,10,0.13292860984802246,39275,-133.54446411132812,0.1459641456604004,-164.9916534423828
Building_220,12,0.15574359893798828,39276,-133.71070861816406,0.14218348264694214,-165.03916931152344
TaskBuilding_7,31,0.41316723823547363,39277,-134.55360412597656,0.14138054847717285,-165.17901611328125
Building_220,1,0.013888120651245117,39278,-135.53001403808594,0.1417558193206787,-165.28350830078125
NoHouse,12,0.17905759811401367,39279,-135.93902587890625,0.14339768886566162,-165.31573486328125
Building_215,5,0.07737541198730469,39280,-136.46104431152344,0.1432814598083496,-165.35845947265625
Garage_235,5,0.07935905456542969,39281,-136.73646545410156,0.14175176620483398,-165.38351440429688
Building_215,6,0.09473586082458496,39282,-137.12513732910156,0.13938820362091064,-165.42039489746094
Garage_235,1,0.015375614166259766,39283,-137.31474304199222,0.13895761966705322,-165.43966674804688
Building_215,3,0.047119855880737305,39284,-137.45701599121094,0.13866066932678225,-165.45425415039062
NoHouse,1,0.01835179328918457,39285,-137.52632141113278,0.13878536224365234,-165.46197509765625
TaskBuilding_48,10,0.1597120761871338,39286,-137.89178466796875,0.14172178506851196,-165.5044708251953
Garage_235,1,0.016865015029907227,39287,-138.15168762207028,0.1418445110321045,-165.53555297851562
TaskBuilding_48,1,0.015375614166259766,39288,-138.22251892089844,0.14141583442687988,-165.5439453125
Garage_235,1,0.01686406135559082,39289,-138.29286193847656,0.1410999298095703,-165.552001953125
TaskBuilding_48,2,0.030255556106567383,39290,-138.34635925292972,0.14091044664382935,-165.55731201171875
Garage_235,1,0.015376091003417969,39291,-138.40046691894528,0.14082670211791992,-165.563232421875
NoHouse,14,0.19498920440673828,39292,-138.82955932617188,0.14274966716766357,-165.61077880859375
Building_221,1,0.013826608657836914,39293,-139.19023132324222,0.1427687406539917,-165.65206909179688
Building_220,10,0.1334238052368164,39294,-139.5186767578125,0.14221638441085815,-165.687744140625
TaskBuilding_7,28,0.39382433891296387,39295,-140.6512451171875,0.06148487329483032,-165.81118774414062
Building_220,1,0.021327733993530273,39296,-141.4899139404297,0.07522130012512207,-165.91885375976562
Building_216,7,0.11854434013366699,39297,-141.7545623779297,0.08085441589355469,-165.95269775390625
Building_215,8,0.1636807918548584,39298,-142.11376953125,0.08691263198852539,-165.99505615234375
NoHouse,1,0.010910272598266602,39299,-142.3572540283203,0.0905393362045288,-166.02239990234375
Building_215,1,0.011409282684326172,39300,-142.39454650878906,0.09096097946166992,-166.02682495117188
Building_220,22,0.31049609184265137,39301,-143.1163330078125,0.1011554002761841,-166.10829162597656
NoHouse,8,0.1443343162536621,39302,-144.0520477294922,0.12008017301559448,-166.2074432373047
TaskBuilding_7,26,0.4007680416107178,39303,-145.11782836914062,0.13755488395690918,-166.32615661621094
crane_2,27,0.3794395923614502,39304,-146.13824462890625,0.1596747636795044,-166.45606994628906
NoHit,2,0.03177285194396973,39307,-147.03025817871094,0.1734958291053772,-166.6491241455078
Building_215,5,0.08280253410339355,39308,-147.17222595214844,0.17512428760528564,-166.68804931640625
NoHouse,3,0.047616004943847656,39309,-147.39622497558594,0.1780383586883545,-166.74984741210938
Building_215,1,0.016368865966796875,39310,-147.4819793701172,0.17929387092590332,-166.77349853515625
NoHouse,6,0.09473538398742676,39311,-147.61358642578125,0.1808767318725586,-166.80862426757812
Building_215,1,0.015873193740844727,39312,-147.7482452392578,0.18238019943237305,-166.84341430664062
Building_211,4,0.06348681449890137,39313,-147.8997802734375,0.1845991015434265,-166.8812255859375
NoHouse,6,0.09622383117675781,39314,-148.13693237304688,0.18951517343521118,-166.93215942382812
NoHit,1,0.014879941940307617,39315,-148.3218231201172,0.19289207458496094,-166.96502685546875
Building_211,1,0.018352270126342773,39316,-148.3861846923828,0.1939314603805542,-166.97445678710938
NoHouse,1,0.015375852584838867,39317,-148.4527130126953,0.19501948356628415,-166.983642578125
Building_211,5,0.07836747169494629,39318,-148.58985900878906,0.1972616910934448,-166.9991455078125
NoHouse,18,0.2842080593109131,39319,-149.29421997070312,0.2125082015991211,-167.01893615722656
Garage_235,18,0.2638721466064453,39320,-150.03138732910156,0.3953261375427246,-166.9315948486328
TaskBuilding_48,1,0.013391733169555664,39321,-150.4272003173828,0.395868182182312,-166.82925415039062
Garage_235,3,0.036704301834106445,39322,-150.5105743408203,0.3956665992736816,-166.80328369140625
TaskBuilding_48,22,0.38936328887939453,39323,-150.9678955078125,0.3938162922859192,-166.6398162841797
Building_211,2,0.032732248306274414,39324,-151.54562377929688,0.3912125825881958,-166.4298553466797
Building_216,2,0.03372788429260254,39325,-151.644775390625,0.3909064531326294,-166.3984375
Building_220,1,0.010911941528320312,39326,-151.69468688964844,0.3908728361129761,-166.38272094726562
Building_216,3,0.03323221206665039,39327,-151.7613067626953,0.3907289505004883,-166.363037109375
Building_215,3,0.04463982582092285,39328,-151.89808654785156,0.3904600143432617,-166.32403564453125
Building_216,2,0.03323221206665039,39329,-152.05386352539062,0.3902624845504761,-166.2823486328125
Building_215,1,0.01140737533569336,39330,-152.10658264160156,0.39029598236083984,-166.26901245117188
Building_220,1,0.010416030883789062,39331,-152.17771911621094,0.3902819156646729,-166.25155639648438
Building_215,2,0.022319555282592773,39332,-152.2865753173828,0.3900432586669921,-166.22845458984375
Building_216,2,0.02331376075744629,39333,-152.43771362304688,0.389150321483612,-166.20542907714844
Building_215,4,0.0882868766784668,39334,-152.64154052734375,0.38753974437713623,-166.2010040283203
Building_220,15,0.24849724769592285,39335,-153.2714080810547,0.38237500190734863,-166.26687622070312
TaskBuilding_7,1,0.011406660079956055,39336,-153.7607879638672,0.37724184989929205,-166.298095703125
Building_222,1,0.011904239654541016,39337,-153.84315490722656,0.3764491081237793,-166.30587768554688
Building_221,9,0.11705684661865234,39338,-154.1645965576172,0.3727799654006958,-166.34658813476562
Building_222,1,0.013390779495239258,39339,-154.40492248535156,0.3704071044921875,-166.38723754882812
Building_221,17,0.25742387771606445,39340,-154.9966583251953,0.3651673793792725,-166.52264404296875
