hitObjectColliderName,ordinalOfHit,hitObjectColliderBoundsCenter.x,hitObjectColliderBoundsCenter.y,hitObjectColliderBoundsCenter.z,participantId,session_type
scaffold_base_02_LOD0,2,-49.68101501464844,1.0725823640823364,-89.63683319091797,1054,dyadic_leader
Female_063_NoHands,1,-54.40855407714844,-0.5554362535476685,-80.85664367675781,1054,dyadic_leader
Female_063_NoHands,1,-54.40746307373047,-0.5554360151290894,-80.85647583007812,1054,dyadic_leader
Female_063_NoHands,1,-54.406917572021484,-0.5554362535476685,-80.85639190673828,1054,dyadic_leader
Female_063_NoHands,1,-54.4063720703125,-0.5554358959197998,-80.85630798339844,1054,dyadic_leader
Female_063_NoHands,1,-54.405826568603516,-0.5554357767105103,-80.8562240600586,1054,dyadic_leader
Female_063_NoHands,1,-54.40528106689453,-0.5554356575012207,-80.85614013671875,1054,dyadic_leader
Female_063_NoHands,1,-54.40473556518555,-0.5554356575012207,-80.8560562133789,1054,dyadic_leader
Female_063_NoHands,1,-54.40419006347656,-0.5554349422454834,-80.85597229003906,1054,dyadic_leader
Female_063_NoHands,1,-54.403099060058594,-0.5554348230361938,-80.85580444335938,1054,dyadic_leader
Female_063_NoHands,1,-54.402191162109375,-0.5554348230361938,-80.85546875,1054,dyadic_leader
Female_063_NoHands,1,-54.401737213134766,-0.5554347038269043,-80.85530090332031,1054,dyadic_leader
Female_063_NoHands,1,-54.401283264160156,-0.5554345846176147,-80.85513305664062,1054,dyadic_leader
Female_063_NoHands,1,-54.40037536621094,-0.5554342269897461,-80.85479736328125,1054,dyadic_leader
Female_063_NoHands,1,-54.39992141723633,-0.5554342269897461,-80.85462951660156,1054,dyadic_leader
Female_063_NoHands,1,-54.39946746826172,-0.5554344654083252,-80.85446166992188,1054,dyadic_leader
Female_063_NoHands,1,-54.39901351928711,-0.5554337501525879,-80.85429382324219,1054,dyadic_leader
scaffold_topboard_01_LOD0,2,-49.49720001220703,-0.4754989743232727,-89.82574462890625,1054,dyadic_leader
Female_063_NoHands,1,-54.39875411987305,-0.5554341077804565,-80.85417938232422,1054,dyadic_leader
Female_063_NoHands,1,-54.398494720458984,-0.5554348230361938,-80.85406494140625,1054,dyadic_leader
Female_063_NoHands,1,-54.39797592163086,-0.5554342269897461,-80.85383605957031,1054,dyadic_leader
Female_063_NoHands,1,-54.3977165222168,-0.5554343461990356,-80.85372161865234,1054,dyadic_leader
Female_063_NoHands,1,-54.397457122802734,-0.5554338693618774,-80.85360717773438,1054,dyadic_leader
Female_063_NoHands,1,-54.39693832397461,-0.5554342269897461,-80.85337829589844,1054,dyadic_leader
Female_063_NoHands,1,-54.39641571044922,-0.5554335117340088,-80.8531494140625,1054,dyadic_leader
Female_063_NoHands,1,-54.39640808105469,-0.555432915687561,-80.8531494140625,1054,dyadic_leader
Female_063_NoHands,1,-54.39640808105469,-0.5554335117340088,-80.8531494140625,1054,dyadic_leader
Female_063_NoHands,1,-54.39640808105469,-0.5554323196411133,-80.8531494140625,1054,dyadic_leader
Female_063_NoHands,1,-54.39640808105469,-0.5554317235946655,-80.8531494140625,1054,dyadic_leader
SmallWall_7,2,-47.73319625854492,-2.104759454727173,-115.55087280273438,1054,dyadic_leader
